date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:14	321965/321965	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e9ad-6706f03a-78b15dbaaffadced;gz%22	https://revelandotudoavr.com/itauinicio/js/e9UDEtXoF8DL.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/e9UDEtXoF8DL.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:16	266064/266064	---M--	200	added ('OK')	image/png	etag:%2240f50-6706f03a-f99bc04c9bd26806;;;%22	https://revelandotudoavr.com/itauinicio/images/yHFINZKVNRZH.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/yHFINZKVNRZH.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:16	790800/790800	---M--	200	added ('OK')	image/png	etag:%22c1110-6706f03a-436747d569b016f4;;;%22	https://revelandotudoavr.com/itauinicio/images/8kyadxosH0X1.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/8kyadxosH0X1.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:17	32802/32802	---M--	200	added ('OK')	image/png	etag:%228022-6706f03a-fcb7f7d5a1dbba11;;;%22	https://revelandotudoavr.com/itauinicio/images/xHbG1gCReGve.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/xHbG1gCReGve.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:18	291540/291540	---M--	200	added ('OK')	image/png	etag:%22472d4-6706f03a-f28eb10c51ed4118;;;%22	https://revelandotudoavr.com/itauinicio/images/pVnib0IkWWNz.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/pVnib0IkWWNz.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:19	183351/183351	---M--	200	added ('OK')	image/png	etag:%222cc37-6706f03a-6024100c22c67cd4;;;%22	https://revelandotudoavr.com/itauinicio/images/3xen9pMmUQHb.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/3xen9pMmUQHb.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:21	469322/469322	---M--	200	added ('OK')	image/png	etag:%227294a-6706f03a-81932bcf1fa582c;;;%22	https://revelandotudoavr.com/itauinicio/images/30VKK8dNQUZg.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/30VKK8dNQUZg.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:22	519039/519039	---M--	200	added ('OK')	image/png	etag:%227eb7f-6706f03a-c817dfc14476452e;;;%22	https://revelandotudoavr.com/itauinicio/images/a4pmctcwLBAG.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/a4pmctcwLBAG.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:22	61054/61054	---M--	200	added ('OK')	image/png	etag:%22ee7e-6706f03a-cc947c43e4c9b3f8;;;%22	https://revelandotudoavr.com/itauinicio/images/3JTS3gqB8XSM.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/3JTS3gqB8XSM.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:26	340269/340269	---M--	200	added ('OK')	image/png	etag:%225312d-6706f03a-64193fb5a56e41e6;;;%22	https://revelandotudoavr.com/itauinicio/images/iNdUOl3ZXfZA.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/iNdUOl3ZXfZA.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:27	103234/103234	---M--	200	added ('OK')	image/png	etag:%2219342-6706f03a-1ef941d5d7aaf441;;;%22	https://revelandotudoavr.com/itauinicio/images/nKJfcFBzy0cq.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/nKJfcFBzy0cq.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:27	278907/278907	---M--	200	added ('OK')	image/png	etag:%224417b-6706f03a-217b9cb8c78b0e04;;;%22	https://revelandotudoavr.com/itauinicio/images/k2FZk4CI7Ypk.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/k2FZk4CI7Ypk.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:28	70415/70415	---M--	200	added ('OK')	image/png	etag:%221130f-6706f03a-2bf56668d5a6ffef;;;%22	https://revelandotudoavr.com/itauinicio/images/AhZ2O3yrNZKH.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/AhZ2O3yrNZKH.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:28	62137/62137	---M--	200	added ('OK')	image/png	etag:%22f2b9-6706f03a-ad954570666c71be;;;%22	https://revelandotudoavr.com/itauinicio/images/3VUEworcIacR.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/3VUEworcIacR.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:29	98929/98929	---M--	200	added ('OK')	image/png	etag:%2218271-6706f03a-e8860bfc94339c92;;;%22	https://revelandotudoavr.com/itauinicio/images/LltXhEbzagQd.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/LltXhEbzagQd.png	(from https://revelandotudoavr.com/itauinicio/)
03:03:39	5125/5125	---M-Z	200	added ('OK')	application/x-javascript	etag:%221405-6706f03a-58077673c99873ee;gz%22	https://revelandotudoavr.com/itauinicio/js/nysLD5vqNmfD.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/nysLD5vqNmfD.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:40	4958/4958	---M-Z	200	added ('OK')	application/x-javascript	etag:%22135e-6706f03a-dded1a14512adcf6;gz%22	https://revelandotudoavr.com/itauinicio/js/1DzrKkioxxdu.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/1DzrKkioxxdu.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:41	90277/90277	---M-Z	200	added ('OK')	application/x-javascript	etag:%22160a5-6706f03a-73d1757dbaaa7e64;gz%22	https://revelandotudoavr.com/itauinicio/js/n0MUdOVadKSd.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/n0MUdOVadKSd.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:42	13424/13424	---M-Z	200	added ('OK')	application/x-javascript	etag:%223470-6706f03a-5253b1b65e1babd5;gz%22	https://revelandotudoavr.com/itauinicio/js/Wv02ztyROcfl.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/Wv02ztyROcfl.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:43	52861/52861	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ce7d-6706f03a-f599e1c4f4eb0163;gz%22	https://revelandotudoavr.com/itauinicio/js/esgY98mOhRXh.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/esgY98mOhRXh.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:44	8171/8171	---M-Z	200	added ('OK')	application/x-javascript	etag:%221feb-6706f03a-a629441678462e92;gz%22	https://revelandotudoavr.com/itauinicio/js/FBOm6At9VM3F.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/FBOm6At9VM3F.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:45	6607/6607	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219cf-6706f03a-8eba5a22f396aef0;gz%22	https://revelandotudoavr.com/itauinicio/js/8K0CQrH9U8n9.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/8K0CQrH9U8n9.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:46	17823/17823	---M-Z	200	added ('OK')	application/x-javascript	etag:%22459f-6706f03a-cb090c44a7b9a5d9;gz%22	https://revelandotudoavr.com/itauinicio/js/0GdRFZ9jmqbM.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/0GdRFZ9jmqbM.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:47	4910/4910	---M-Z	200	added ('OK')	application/x-javascript	etag:%22132e-6706f03a-ce7b1ca013c00042;gz%22	https://revelandotudoavr.com/itauinicio/js/o0cJ9bfq7S5t.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/o0cJ9bfq7S5t.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:48	10230/10230	---M-Z	200	added ('OK')	application/x-javascript	etag:%2227f6-6706f03a-e31c0d823ab9bee9;gz%22	https://revelandotudoavr.com/itauinicio/js/tmZfPVY23Mcv.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/tmZfPVY23Mcv.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:49	20415/20415	---M-Z	200	added ('OK')	application/x-javascript	etag:%224fbf-6706f03a-deac8ecc88feeb01;gz%22	https://revelandotudoavr.com/itauinicio/js/jvH5c8pf6VDr.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/jvH5c8pf6VDr.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:50	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fa6-6706f03a-587cb12be7dd8810;gz%22	https://revelandotudoavr.com/itauinicio/js/UVZd8dZwsazW.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/UVZd8dZwsazW.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:51	21438/21438	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253be-6706f03a-62836b2740778c12;gz%22	https://revelandotudoavr.com/itauinicio/js/JLgd3shPQbO7.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/JLgd3shPQbO7.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:52	24213/24213	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e95-6706f03a-e5a9cf04edf599ba;gz%22	https://revelandotudoavr.com/itauinicio/js/I6PTPnLiQg6R.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/I6PTPnLiQg6R.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:53	18833/18833	---M-Z	200	added ('OK')	application/x-javascript	etag:%224991-6706f03a-54fc4b25593fd71d;gz%22	https://revelandotudoavr.com/itauinicio/js/XXSdBRZPCH4p.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/XXSdBRZPCH4p.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:55	1426/1426	---M-Z	200	added ('OK')	application/x-javascript	etag:%22592-6706f03a-cd232a733e2c485;gz%22	https://revelandotudoavr.com/itauinicio/js/dL5f1IjqyoYI.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/dL5f1IjqyoYI.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:59	771/771	---M-Z	200	added ('OK')	application/x-javascript	etag:%22303-6706f03a-20ac7d8cb725333a;gz%22	https://revelandotudoavr.com/itauinicio/js/7hgExgE2RYJ6.js	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/js/7hgExgE2RYJ6.js	(from https://revelandotudoavr.com/itauinicio/)
03:03:59	4942/4942	---M-Z	200	added ('OK')	text/css	etag:%22134e-6706f03a-a7a9d914cf39931e;gz%22	https://revelandotudoavr.com/itauinicio/css/cP7Eoh3raxTB.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/cP7Eoh3raxTB.css	(from https://revelandotudoavr.com/itauinicio/index_1.html)
03:04:00	121104/121104	---M-Z	200	added ('OK')	text/css	etag:%221d910-6706f03a-db66d410db5a8226;gz%22	https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css	(from https://revelandotudoavr.com/itauinicio/index_1.html)
03:04:01	112366/112366	---M--	200	added ('OK')	image/png	etag:%221b6ee-6706f03a-fc861eedca3f31e5;;;%22	https://revelandotudoavr.com/itauinicio/images/eJZo9d3PAtCj.png	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/eJZo9d3PAtCj.png	(from https://revelandotudoavr.com/itauinicio/index_1.html)
03:04:02	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:05:36%20GMT	https://revelandotudoavr.com/itauinicio/fonts/WYRmjND0js42.eot	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/WYRmjND0js42.eot	(from https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css)
03:04:03	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:05:37%20GMT	https://revelandotudoavr.com/itauinicio/fonts/I3bdewqavulN.woff2	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/I3bdewqavulN.woff2	(from https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css)
03:04:04	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:05:38%20GMT	https://revelandotudoavr.com/itauinicio/fonts/eaGYwyDcZBoX.woff	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/eaGYwyDcZBoX.woff	(from https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css)
03:04:05	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:05:39%20GMT	https://revelandotudoavr.com/itauinicio/fonts/8ThFoKUGEyzc.ttf	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/8ThFoKUGEyzc.ttf	(from https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css)
03:04:06	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:05:40%20GMT	https://revelandotudoavr.com/itauinicio/images/6gLYSW7HUUXF.svg	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/6gLYSW7HUUXF.svg	(from https://revelandotudoavr.com/itauinicio/css/XTnLpmMt11At.css)
03:05:03	787/787	---M--	403	error ('Forbidden')	text/html	date:Thu,%2010%20Oct%202024%2003:06:28%20GMT	https://revelandotudoavr.com/itauinicio/images/	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/index.html	(from https://revelandotudoavr.com/itauinicio/js/e9UDEtXoF8DL.js)
03:05:21	55854/55854	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202024%2003:06:40%20GMT	https://revelandotudoavr.com/itauinicio/giItT1WQy@!-/	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/giItT1WQy@!-/index.html	(from https://revelandotudoavr.com/itauinicio/js/e9UDEtXoF8DL.js)
03:06:49	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-6706f03a-fa0287066faaab59;gz%22	https://revelandotudoavr.com/itauinicio/fonts/D8j9dQEYXBhD.eot	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/D8j9dQEYXBhD.eot	(from https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css)
03:06:49	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22466c-6706f03a-6ac1e2987ed13630;;;%22	https://revelandotudoavr.com/itauinicio/fonts/tRQHAvwNw551.woff2	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/tRQHAvwNw551.woff2	(from https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css)
03:06:50	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-6706f03a-c7a898e225b60ea4;;;%22	https://revelandotudoavr.com/itauinicio/fonts/YiWDH7c42GLX.woff	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/YiWDH7c42GLX.woff	(from https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css)
03:06:51	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b15c-6706f03a-616f16e5fb1a3bee;gz%22	https://revelandotudoavr.com/itauinicio/fonts/SxDnRjEWuMm7.ttf	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/fonts/SxDnRjEWuMm7.ttf	(from https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css)
03:06:52	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a8c2-6706f03a-b576c0e9ed52a5c1;gz%22	https://revelandotudoavr.com/itauinicio/images/fsWRx1zziFoj.svg	/storage/emulated/0/Download/clone_itau/revelandotudoavr.com/itauinicio/images/fsWRx1zziFoj.svg	(from https://revelandotudoavr.com/itauinicio/css/62jq2owiy3W0.css)
